,videoId,title,description,thumbnail,publishedat
0,uE-w1XQVlYM,Choi Ung &amp; Yeon-Su » To get to you. [Our Beloved Summer +1x12],HD is better - [SPOILERS EP01-12] (turn on the CC for ENG/PT subtitles!) ❝Please keep loving me. Don't let go and keep loving ...,https://i.ytimg.com/vi/uE-w1XQVlYM/default.jpg,2022-01-11 23:07:56
1,cIVoPSXez_U,my first kdrama 💓#herprivatelife  #kdramaloverskdramauniverse#kdramaaddict #koreandrama#koreandramas,repost @kdramaice __ my first kdrama . . . Kdrama: her private life Credits: luvkdrama Tags #herprivatelife #kdramalovers ...,https://i.ytimg.com/vi/cIVoPSXez_U/default.jpg,2022-01-12 00:14:34
2,F6-ZSbh1ulg,ESTRENOS DE KDRAMAS ⚡ENERO⚡| FioreBlu✗,Hola a todos :) Hoy les traigo un videos con los #KDRAMAS que se estrenan este mes de enero. Tenemos varias propuestas ...,https://i.ytimg.com/vi/F6-ZSbh1ulg/default.jpg,2022-01-12 00:11:46
3,CERN0sz1-vU,𝐉𝐢𝐬𝐨𝐨 𝐱 𝐉𝐮𝐧𝐠 𝐇𝐚𝐞𝐢𝐧 𝐂𝐮𝐭𝐞 &amp; 𝐒𝐰𝐞𝐞𝐭 𝐦𝐨𝐦𝐞𝐧𝐭 | 𝐒𝐧𝐨𝐰𝐝𝐫𝐨𝐩 [Behind The Scene],Watch HD and wear headphones for the best experience!! ▻ I made this video to heal our hearts Enjoys~~~. Edit: Changie ...,https://i.ytimg.com/vi/CERN0sz1-vU/default.jpg,2022-01-12 00:00:13
4,9sRM8sq8-GQ,[#TrueBeauty] Hija de la familia Im | #EntretenimientoKoreano,Activa CC para subtítulos en español!⭐️ No olvides de seguirnos: http://www.youtube.com/c/TVcoreanadeentretenimiento ...,https://i.ytimg.com/vi/9sRM8sq8-GQ/default.jpg,2022-01-11 23:00:09
5,FqkntO4OB2w,They both risk their lives to protect their #love 💗 #shorts #kdrama #girl #whatsappstatus #cdrama,,https://i.ytimg.com/vi/FqkntO4OB2w/default.jpg,2022-01-12 00:11:12
6,cZ2Mw0EKvoU,Curiosidades de Happiness (kdrama),ヮ◕)ﾉ*:･ﾟ✧ FOLLLOW ME ///OPEN-ABREME// Mis redes sociales: ☆ Twitter: https://twitter.com/heynialee ☆ Instagram: heynialee ...,https://i.ytimg.com/vi/cZ2Mw0EKvoU/default.jpg,2022-01-11 22:45:01
7,FYk76brWSfQ,Korean Mix Hindi Songs❤Chinese love story❤new korean love story❤#k_Mix ❤tanha jaccson.,klovestudio #tanhajaccson keep supporting. These All Things Are Copyrighted We Just Edited And Published To ...,https://i.ytimg.com/vi/FYk76brWSfQ/default.jpg,2022-01-11 22:45:00
8,2Em2S0ZgIeA,“Because you love youngro”- hope not | snowdrop ep-9,Because you love youngro”- hope not | snowdrop ep-9 If you find my channel entertaining .then kindly subscribe to my channel.,https://i.ytimg.com/vi/2Em2S0ZgIeA/default.jpg,2022-01-11 22:54:24
9,rK9T_QEJ-qs,Our Beloved Summer Ep-12 Review [Eng Sub],"Watch in HD, Hope you enjoyed the edit ^_^. -------------------------------------------------------------------- I do not own anything except ...",https://i.ytimg.com/vi/rK9T_QEJ-qs/default.jpg,2022-01-11 23:35:05
